name,recorded_date,over_all_rating,price_range,range,top_speed,power,front_suspension,rear_suspension,front_type,wheel_type,total_no_of_reviews,design,comfort,reliability_maintenance,kerb_weight,charging_time,seat_height,max_power,battery_capacity,rear_type,mileage_performance,maintenance_cost,features,good_features,bad_features,performance,mileage,safety,value_for_money,styling
River Indie,2023-11-10,4.80,? 1.25 Lakh ,120 km/charge,90 kmph,6700,Telescopic Suspension with Hydraulic Dampers,Coil spring with Twin Hydraulic Dampers,Disc,Alloy,18 ratings,5.00,5.00,4.60,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Benling India Aura,2023-11-10,3.00,"? 94,296 ",120 km/charge,60 kmph,BLDC 2500W,Telescopic,null,Disc,Stylish Alloy Wheels,42 ratings,null,2.60,5.00,66 Kg,4-Hrs,1175 mm,BLDC 2500W,2.88 kwh,Drum,5.00,null,null,null,null,null,null,null,null,null
Benling India Falcon,2023-11-10,3.80,"? 62,200 - ? 69,540 ",75 km/charge,25 kmph,250W& 60V Brushless Motor,Telescopic,Robust Rear Spring,Disc,null,8 ratings,null,4.00,4.00,66 Kg,7 - 8 Hrs (VRLA)& 4 Hrs (Li-Ion),null,250W& 60V Brushless Motor,1.2 kwh,Drum,4.00,null,null,null,null,null,null,null,null,null
Benling India Kriti,2023-11-10,3.70,"? 56,940 - ? 64,151 ",60 km/charge,25 kmph,250W& 48V Brushless Motor,Telescopic,null,Disc,Alloy Wheels,1 ratings,null,null,null,66 Kg,8 - 9 Hrs (VRLA) & 4 Hrs (Li-Ion),null,250W& 48V Brushless Motor,0.96 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
GT Soul,2023-11-10,4.00,"? 52,861 - ? 75,350 ",55 km/charge,25 kmph,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,1 ratings,null,null,null,95 Kg,7-8 Hrs,null,null,1.344 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
GT One,2023-11-10,4.00,"? 62,850 - ? 85,945 ",55 km/charge,25 kmph,null,Front-Hydraulic Telescopic,Double Shocker With Dual Tube Technology”,Disc,null,null,null,null,null,88 Kg,7-8 Hrs,null,null,1.344 kwh,Disc,null,null,null,null,null,null,null,null,null,null
GT Prime,2023-11-10,4.00,"? 57,417 - ? 77,763 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,1 ratings,null,null,null,85 Kg,7 - 8 hours,null,null,1.34 kwh,Drum,null,null,null,null,null,null,null,null,null,null
GT One Plus,2023-11-10,4.00,"? 68,982 - ? 86,970 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,98 Kg,7 - 8 hours,null,null,1.34 kwh,Disc,null,null,null,null,null,null,null,null,null,null
GT Drive Pro,2023-11-10,null,"? 67,801 - ? 90,530 ",55 km/charge,25 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,null,null,null,null,85 Kg,7 - 8 hours,760 mm,null,1.34 kwh,Drum,null,null,null,null,null,null,null,null,null,null
GT Drive Plus,2023-11-10,4.00,? 1.03 Lakh ,80 km/charge,55 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Drum,null,null,null,null,null,88 Kg,4 - 5 hours,780 mm,null,null,Drum,null,null,null,null,null,null,null,null,null,null
GT Flying,2023-11-10,4.00,"? 54,338 - ? 77,763 ",55 km/charge,60 kmph,null,Hydraulic Telescopic,Double Shocker With Dual Tube Technology,Disc,null,1 ratings,null,null,null,82 Kg,7 - 8 hours,null,null,1.34 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Maruthisan  MS 3.0,2023-11-10,4.10,? 1.49 Lakh - ? 1.58 Lakh ,140 km/charge,60 kmph,null,Telescopic,adjustable,disc,Alloy,16 ratings,4.90,4.40,null,239 Kg,null,null,null,null,Disc,null,null,4.00,null,null,null,null,null,null,null
Trouve Motor H2,2023-11-10,null,? 1.50 Lakh - ? 2.00 Lakh *,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Sokudo Acute,2023-11-10,5.00,? 1.26 Lakh - ? 1.33 Lakh ,150 km/charge,60 kmph,null,null,null,Disc,Alloy,1 ratings,null,null,5.00,null,4,null,null,null,Disc,5.00,null,5.00,null,null,null,null,null,null,null
Vida V1,2023-11-10,4.10,? 1.26 Lakh ,165 km/charge,80 kmph,null,null,null,Disc,null,95 ratings,4.50,4.50,null,null,5 hr 55 min,null,null,null,Drum,4.30,null,null,"Feels well made, strong build qualityRemovable batteries a big boonFeature loaded including removable rear seatHero's unbeatable network in IndiaVida owners can use Ather's grid network for charging","Limited top speed of just 82 km/hNot as quick as Ola S1 Pro, range is also lower on the Vida Slightly on the pricier side ",null,null,null,null,null
Silence S01+,2023-11-10,3.70,? 6.50 Lakh ,137 km/charge,43 kmph,10.19 PS,Adjustable Hydraulic Damping,Adjustable Hydraulic Damping,Disc,null,1 ratings,null,null,null,null,6-8 Hrs,null,null,null,null,null,5.00,3.40,null,null,null,null,null,null,null
iGowise BeiGo,2023-11-10,4.50,? 1.10 Lakh ,150 km km/charge,85 kmph,null,null,null,null,null,3 ratings,5.00,null,4.30,null,null,null,null,null,null,null,null,5.00,null,null,null,null,null,null,null
Zelio Gracy,2023-11-10,3.60,"? 56,675 - ? 59,755 ",120 km/charge,24.9 kmph,null,Hydraulic,null,null,Tubeless,23 ratings,4.10,4.10,null,null,6-8 hours,null,null,1.34 kwh,null,null,null,3.90,null,null,null,null,null,null,null
Zelio Eeva,2023-11-10,5.00,"? 54,575 - ? 57,475 ",120 km/charge,25 kmph,null,Hydraulic,null,null,Tubeless,2 ratings,5.00,null,5.00,null,6-8 hours,null,null,1.34 kwh,null,null,null,5.00,null,null,null,null,null,null,null
Zelio Eeva ZX,2023-11-10,4.20,"? 59,000 - ? 62,000 ",120 km/charge,25 kmph,null,Hydraulic,null,null,Tubeless,4 ratings,4.00,5.00,null,null,6-8 hours,null,null,1.34 kwh,null,5.00,null,null,null,null,null,null,null,null,null
Zelio Gracy i,2023-11-10,3.40,"? 56,825 - ? 59,755 ",120 km/charge,24.9 kmph,null,Hydraulic,null,null,Tubeless,2 ratings,null,null,null,null,6-8 hours,null,null,1.34 kwh,null,null,5.00,3.80,null,null,null,null,null,null,null
Joy E-bike Wolf Plus,2023-11-10,4.50,? 1.16 Lakh ,100 km/charge,55 kmph,1500 W,Hydraulic,Hydraulic,Disc,null,3 ratings,null,5.00,5.00,85 Kg,4-5 hours,null,null,null,Disc,5.00,null,null,Easy to rideEdgy looksGood features including back rest,Inconsistent quality issuesLimited real world range below 100 km,null,null,null,null,null
Joy E-bike Wolf,2023-11-10,3.60,"? 79,900 ",65 km/charge,46 kmph,250 W,Hydraulic,Dual adjustable shock absorbers,Disc,null,23 ratings,null,null,null,81 Kg,3.5 hours,null,250 W,1.86 kwh,Disc,null,null,null,null,null,4.50,4.00,4.00,null,null
Joy E-bike Gen Nxt Nanu Plus,2023-11-10,3.70,? 1.12 Lakh ,100 km/charge,55 kmph,1500 W,Hydraulic,Hydraulic,Disc,null,3 ratings,null,null,null,85 Kg,4-5 hours,null,null,null,Disc,null,4.00,null,A lightweight body makes it easy to handleAttractive instrument consoleDisc brakes on both the ends,A limited number of dealer outlets of Joy E-Bike across the countryLimited sub-100 km real-world range,4.00,5.00,null,null,null
Joy E-bike Glob,2023-11-10,3.40,"? 77,400 ",65 km/charge,25 kmph,250 W,Telescopic Fork type,Dual adjustable shock absorbers,Disc,Alloy,11 ratings,null,null,null,67 Kg,3.5 hours,null,250 W,1.38 kwh,Disc,null,4.00,null,null,null,null,4.00,4.50,null,null
Joy GEN NXT Nanu E-Scooter,2023-11-10,4.00,"? 77,400 ",60 km/charge,46 kmph,250 W,Hydraulic,Hydraulic,Disc,null,6 ratings,5.00,null,null,81 Kg,3.5 hours,null,250 W,1.44 kwh,Disc,null,4.00,null,null,null,null,4.50,null,null,null
Joy E-bike Mihos,2023-11-10,5.00,? 1.49 Lakh ,100 km/charge,70 kmph,1500 W,Telescopic,Mono reversible spring,Disc,null,3 ratings,null,null,null,110 Kg,4 Hours,null,null,null,Disc,null,null,null,null,null,null,null,null,null,null
M2GO Scooters X1,2023-11-10,3.70,? 1.11 Lakh ,120 km/charge,50 kmph,2020 W,null,null,Disc,Alloy,4 ratings,null,3.00,1.00,null,null,null,null,null,Disc,3.00,null,null,null,null,null,null,null,null,null
M2GO Scooters Civitas,2023-11-10,3.80,? 1.27 Lakh ,120 km/charge,85 kmph,2020 W,null,null,Disc,Alloy,1 ratings,null,null,null,null,null,null,null,null,Disc,null,5.00,3.60,null,null,null,null,null,null,null
Kabira Intercity Neo,2023-11-10,3.70,"? 67,490 ",110 km/charge,24 kmph,250 W,Spring Loaded,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,250 W,2.1 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Kollegio Neo,2023-11-10,3.70,"? 55,790 ",100 km/charge,24 kmph,250 W,Spring Loaded,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,250 W,1.152 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Kollegio Plus,2023-11-10,3.70,"? 65,490 ",110 km/charge,24 kmph,250 W,Spring Loaded,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,250 W,2.1 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Aetos 100,2023-11-10,3.70,"? 65,490 ",110 km/charge,24 kmph,250 W,Spring Loaded,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,250 W,2.1 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Hermes 75,2023-11-10,3.70,"? 89,600 ",120 km/charge,40 kmph,250 W,Spring Loaded,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,250 W,2.4 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Mobility Kollegio,2023-11-10,3.70,"? 45,990 ",100 km/charge,24 kmph,null,null,null,Disc,Alloy,1 ratings,null,null,null,null,4 Hours,null,null,1.15 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
Kabira Mobility Intercity Aeolus,2023-11-10,3.70,"? 71,490 ",110 km/charge,24 kmph,null,Spring Loaded,null,Disc,Alloy,2 ratings,null,null,null,null,04 - 06 Hours,null,null,2.1 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
Gravton Quanta,2023-11-10,3.30,"? 99,000 ",320 km/charge,70 kmph,3kW,null,null,Disc,Alloy,19 ratings,null,null,null,null,3 Hours,null,null,1.8 kwh,Drum,null,4.00,null,null,null,3.50,null,5.00,null,null
Komaki SE,2023-11-10,4.10,? 96.97 K - ? 1.38 Lakh ,200 km/charge,80 kmph,null,Telescopic,null,Disc,Alloy,17 ratings,null,null,null,null,4 - 5 Hours,null,null,null,Disc,5.00,5.00,null,null,null,5.00,null,null,null,null
Komaki LY,2023-11-10,4.60,"? 95,866 ",60 km/charge,80 kmph,null,null,null,null,null,9 ratings,null,null,null,null,null,null,null,null,null,null,4.60,4.20,null,null,null,null,4.60,null,null
Komaki XGT X-ONE,2023-11-10,3.60,"? 45,000 - ? 78,920 ",85 km/charge,25 kmph,null,null,null,null,Alloy,6 ratings,4.00,null,null,null,6-8 hours,null,null,1.56 kwh,null,4.00,null,4.00,Comfortable seating. Good riding range.Smart looking design.,Aftermarket service can be a hassle.Long charging time.,null,null,null,null,null
Komaki XGT X5,2023-11-10,4.60,"? 72,500 - ? 90,500 ",90 km/charge,62 kmph,null,null,null,null,Alloy,3 ratings,null,null,null,null,4-5 hours,null,null,1.44 kwh,null,null,3.00,null,null,null,5.00,null,5.00,null,null
Komaki Flora,2023-11-10,4.90,"? 79,000 ",75 km/charge,65 kmph,null,null,null,null,null,8 ratings,5.00,5.00,4.30,null,4-5 Hours,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Komaki XGT KM,2023-11-10,4.00,"? 42,500 - ? 93,045 ",85 km/charge,25 kmph,null,Telescopic Shock Absorber,Hydraulic Shock Absorber,null,Alloy,9 ratings,null,null,null,null,6-8 Hours,null,null,1.8 kwh,null,3.00,5.00,3.00,null,null,null,null,null,null,null
Komaki Venice,2023-11-10,3.30,? 77.00 K - ? 1.68 Lakh ,90 km/charge,80 kmph,null,null,null,null,Alloy,3 ratings,null,null,null,null,3-4 hours,null,null,2.88 kwh,Disc,null,4.00,null,null,null,4.00,null,5.00,null,null
Komaki XGT VP,2023-11-10,3.70,"? 62,305 - ? 84,681 ",65 km/charge,25 kmph,null,Telescopic Shocker,Telescopic Shocker,Disc,null,1 ratings,null,null,null,null,4 - 5 Hours,null,null,1.68 kwh,Disc,null,5.00,3.40,null,null,null,null,null,null,null
Komaki DT 3000,2023-11-10,3.10,? 1.21 Lakh ,100 km/charge,90 kmph,null,null,null,null,null,8 ratings,null,null,null,null,null,null,null,null,null,null,5.00,null,Long riding range as compared to the rivalsValue for money as per the segmentSubtle ride qualityLong and wide seat offers a lot of comfort on the goLarge footboard area useful for multiple purposes,Long term reliability is a big question mark Very minute service and dealership networkBattery heat management system reliability is questionable,5.00,5.00,null,null,null
Komaki XGT-X3,2023-11-10,3.80,"? 95,000 ",90 km/charge,25 kmph,null,null,null,null,Alloy,1 ratings,null,null,null,null,null,null,null,null,null,null,5.00,3.60,null,null,null,null,null,null,null
Komaki TN-95,2023-11-10,4.40,"? 98,000 ",180 km/charge,40 kmph,null,null,null,null,Alloy,5 ratings,null,5.00,5.00,null,6-8 Hrs,870 mm,null,3.6 kwh,null,5.00,null,null,null,null,null,null,null,null,null
Komaki X2 Vogue,2023-11-10,3.80,"? 47,000 - ? 88,500 ",85 km/charge,25 kmph,null,Telescopic Shock Absorber,Hydraulic Shock Absorber,null,Alloy,6 ratings,null,null,null,null,6-8 Hrs,null,null,1.44 kwh,null,null,null,null, Good riding rangeSleek looking e-scooter.,Built materials not known.No wide range of service dealerships.,5.00,5.00,3.00,null,null
Komaki Super,2023-11-10,4.20,"? 29,500 ",60 km/charge,37 kmph,350-500 W,null,null,null,Alloy,8 ratings,null,5.00,5.00,null,null,null,350-500 W,0.96 kwh,null,5.00,null,null,null,null,null,null,null,null,null
Odysse Electric Racer,2023-11-10,4.00,"? 85,000 ",170 km/charge,45 kmph,1200 W,Telescopic,Spring loaded hydraulic,Disc,Alloy,1 ratings,null,null,null,null,3.5 hours,810 mm,1200 W,null,null,null,5.00,3.80,null,null,null,null,null,null,null
Odysse Electric Hawk,2023-11-10,3.80,? 74.00 K - ? 1.18 Lakh ,60 km/charge,45 kmph,1800 W,Telescopic,Spring loaded hydraulic,Disc,Alloy,4 ratings,null,null,null,null,4 hours,830 mm,1800 W,null,null,1.00,5.00,3.20,null,null,null,null,null,null,null
Odysse Electric E2Go,2023-11-10,3.70,"? 59,750 - ? 94,100 ",70 km/charge,25 kmph,250 W,Telescopic,Spring Hydraulic,Disc,Alloy,1 ratings,null,null,null,90 Kg,3.5-4 Hours,null,250 W,null,null,null,5.00,3.40,null,null,null,null,null,null,null
Odysse Electric V2,2023-11-10,4.40,"? 77,250 ",75 km/charge,25 kmph,null,Telescopic,null,Disc,null,2 ratings,null,null,null,null,3.5 Hours,null,null,2.6 kwh,null,null,null,4.00,Long riding range capabilityValue for money as compared to the rivalsValue for money as compared to the rivals,Small dealer & service networkLong term reliability is questionableDesign is very subjective,5.00,null,4.00,null,null
Odysse Electric V2 Plus,2023-11-10,4.00,? 1.00 Lakh ,150 km/charge,25 kmph,null,Telescopic,Heavy Spring loaded,Disc,null,1 ratings,null,null,null,null,3.5 Hours,null,null,null,Drum,null,5.00,3.80,Long riding range capabilityValue for money as compared to the rivalsLooks unique in terms of design,Small dealer & service networkLong term reliability is questionable Design is very subjective,null,null,null,null,null
Odysse Electric Trot,2023-11-10,5.00,"? 99,999 ",75 km/charge,25 kmph,null,null,null,Drum,null,1 ratings,null,null,5.00,null,null,null,null,1.92 kwh,Disc,5.00,null,5.00,null,null,null,null,null,null,null
Simple One,2023-11-10,4.10,? 1.45 Lakh ,300 km/charge,105 kmph,null,Telescopic Fork,Mono Tube - Mono Shock,Disc,null,283 ratings,4.20,null,null,null,3 Hrs,null,null,null,Disc,null,4.40,null,212km of promised range in 94% battery useSorter dynamics - rides well and handles like a gem! The quickest EV scooter you can buy in IndiaLooks modern with LED lights all around,Size could have been biggerPricier than the initial promised priceHeavier than the initially showcased model ,null,null,4.30,null,null
Techo Electra Raptor,2023-11-10,3.80,"? 76,178 ",100 km/charge,null,250 W,Telescopic,Dual Mono,Disc,null,1 ratings,null,null,null,60 Kg,3-4 Hrs,null,250 W,1.8 kwh,Drum,null,5.00,3.60,null,null,null,null,null,null,null
Techo Electra Emerge,2023-11-10,3.80,"? 73,079 ",100 km/charge,25 kmph,250 W,Telescopic,Dual Mono,Disc,null,1 ratings,null,null,null,58 Kg,3-4 Hrs,null,250 W,1.8 kwh,Drum,null,5.00,3.60,null,null,null,null,null,null,null
Techo Electra Neo EV,2023-11-10,3.20,"? 55,053 ",60 km/charge,25 kmph,250 W,Telescopic,Dual Mono,Drum,null,2 ratings,null,null,null,51 Kg,2.5 - 4 Hrs,null,250 W,1.152 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Techo Electra Saathi,2023-11-10,3.70,"? 62,738 ",80 km/charge,25 kmph,250 W,Telescopic,Dual Mono,Drum,null,null,null,null,null,60 Kg,2.5 - 4 Hrs,null,250 W,1.152 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Yukie Scooters Yuvee,2023-11-10,3.60,"? 44,385 ",50 km/charge,25 kmph,250 W,null,null,Drum,Alloy,2 ratings,null,null,null,null,4-6 Hours,750 mm,250 W,0.96 kwh,Drum,null,3.00,5.00,null,null,3.00,null,null,null,null
Yukie Scooters Shiga,2023-11-10,4.50,"? 51,115 ",60 km/charge,25 kmph,250 W,null,null,Disc,Alloy,2 ratings,null,5.00,null,null,4-6 Hours,760 mm,250 W,1.5 kwh,Drum,5.00,5.00,null,null,null,null,null,null,null,null
Lohia Oma Star,2023-11-10,4.40,"? 41,444 ",60 km/charge,25 kmph,250 watts,Telescopic,Hydraulic (Coil Type),Drum,null,2 ratings,null,null,null,null,6-8 Hrs,770 mm,250 watts,0.24 kwh,Drum,null,5.00,3.60,100 km claimed riding range.Conventional design.Lightweight electric scooter.No RC and Licence required to rideTakes less than 3 hours to charge. ,Fewer dealerships and workshops.Poor riding rangePoor top speed.Single colour option.,null,null,null,null,null
Lohia Oma Star Li,2023-11-10,4.60,"? 51,750 ",60 km/charge,25 kmph,> 250 W,Hydraulic (Telescopic Type),Hydraulic (Coil Type),Drum,null,1 ratings,null,null,null,90 Kg,Less than 3 hours,770 mm,> 250 W,0.96 kwh,Drum,null,5.00,5.00,100 km claimed riding range.Lightweight electric scooter.Takes less than 3 hours to chharge. ,Fewer dealerships and workshops.Single colour option.,null,5.00,null,null,null
One Moto Electa,2023-11-10,4.50,? 1.99 Lakh ,150 km/charge,85 kmph,null,null,null,Hydraulic Disc,null,2 ratings,null,null,null,115 Kg,4 Hours,null,null,null,Hydraulic Disc,null,5.00,3.80,null,null,null,null,null,null,null
One Moto Commuta,2023-11-10,4.00,? 1.30 Lakh ,80 km/charge,55 kmph,null,null,null,Hydraulic Disc,null,1 ratings,null,null,null,102 Kg,4 Hours,null,null,null,Drum,null,5.00,3.80,null,null,null,null,null,null,null
One Moto Byka,2023-11-10,4.00,? 1.80 Lakh ,150 km/charge,85 kmph,null,null,null,Hydraulic Disc,null,1 ratings,null,null,null,115 Kg,5 Hours,null,null,null,Hydraulic Disc,null,5.00,3.80,null,null,null,null,null,null,null
