name,recorded_date,over_all_rating,price_range,range,top_speed,power,front_suspension,rear_suspension,front_type,wheel_type,total_no_of_reviews,design,comfort,reliability_maintenance,kerb_weight,charging_time,seat_height,max_power,battery_capacity,rear_type,mileage_performance,maintenance_cost,features,good_features,bad_features,performance,mileage,safety,value_for_money,styling
Ather 450S,2023-11-10,4.50,? 1.18 Lakh - ? 1.32 Lakh ,115 km/charge,90 kmph,7.34 PS,Telescopic forks,Symmetrically mounted progressive monoshock,Disc,null,171 ratings,4.80,4.90,4.20,108 Kg,8 Hours 36 Minutes,780 mm,null,null,Disc,null,null,null,null,null,null,null,null,null,null
Detel EV Easy Plus,2023-11-10,4.50,"? 46,999 ",60 km/charge,25 kmph,null,null,null,null,Alloy Wheels,4 ratings,null,null,null,null,null,- mm,null,1.44 kwh,null,null,null,4.00, Easy maneuverability in any road condition.Lightweight.No registration required.,Less top speed. Too costly.,null,4.00,4.50,null,null
Aeroride E Spark,2023-11-10,4.00,? 69.44 K - ? 1.12 Lakh ,null,90 kmph,null,null,null,Disc,Alloy,1 ratings,null,null,null,null,null,null,null,1.68 kwh,null,null,5.00,3.80,null,null,null,null,null,null,null
Aeroride Aero,2023-11-10,null,"? 61,445 - ? 79,445 ",60 km/charge,25 kmph,null,Telescopic,Hydraulic,Disc,null,null,null,null,null,58 Kg,null,800 mm,null,1.68 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Aeroride YB2000,2023-11-10,4.00,? 97.10 K - ? 1.29 Lakh ,80 km/charge,80 kmph,null,Telescopic,Hydraulic,Disc,null,1 ratings,null,null,null,65 Kg,null,null,null,1.872 kwh,Disc,null,5.00,3.80,null,null,null,null,null,null,null
YOBykes Drift,2023-11-10,4.00,"? 51,000 ",60 km/charge,25 kmph,250 KW,Telescopic Fork,Shock Absorber,Disc,null,2 ratings,null,null,null,95 Kg,7 hrs (VRLA)& 3 to 4 hrs (Lithium Ion),775 mm,250 KW,0.324 kwh,Drum,null,null,5.00,null,null,null,null,null,5.00,5.00
YOBykes Edge,2023-11-10,4.00,"? 49,000 ",60 km/charge,25 kmph,250 KW,Telescopic Fork,Shock Absorber,Disc,null,5 ratings,4.20,4.20,null,95 Kg,7 hrs (VRLA)& 3 to 4 hrs (Lithium Ion),700 mm,250 KW,0.324 kwh,Drum,null,null,4.20,null,null,null,null,null,null,null
Raftaar Galaxy,2023-11-10,3.70,"? 51,900 ",100 km/charge,25 kmph,250 W,Telescopic (Hydraulic Type),Double shoker with dual tube technology (Hydraulic),Drum,null,2 ratings,null,5.00,5.00,null,4-6 Hours,874 mm,250 W,1.5 kwh,Drum,null,5.00,null,null,null,null,null,null,null,null
Raftaar Electrica,2023-11-10,3.70,"? 48,540 - ? 70,900 ",100 km/charge,25 kmph,250 W,Telescopic (Hydraulic Type),Double shoker with dual tube technology (Hydraulic),null,Alloy,1 ratings,null,null,null,60 Kg,4-6 Hours,874 mm,250 W,1.5 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Raftaar Lima,2023-11-10,4.40,"? 68,500 ",null,90 kmph,null,Telescopic Suspension,Dual Tube Spring Type Hydraulic Shockers,null,Alloy,30 ratings,4.70,5.00,null,null,6-8 hours,null,null,1.8 kwh,Disc,null,5.00,null,null,null,null,null,null,null,null
Raftaar Cruzer R1,2023-11-10,3.70,"? 84,500 ",100 km/charge,45 kmph,null,null,null,null,null,5 ratings,null,null,null,null,4-5 Hours,null,null,null,null,null,4.50,null,null,null,null,4.50,4.50,null,null
Raftaar Bumblebee,2023-11-10,3.20,"? 88,000 ",100 km/charge,45 kmph,null,Telescopic,Dual Tube Spring Type Hydraulic Shockers,null,Alloy,8 ratings,null,null,null,null,4-5 Hours,null,null,null,null,null,4.30,null,null,null,4.30,4.50,null,null,null
Ola S1 Pro,2023-11-10,4.10,? 1.40 Lakh - ? 1.47 Lakh ,181 km/charge,116 kmph,14.95 PS,Single Fork,Mono Shock,Hydraulic Disc,null,952 ratings,4.10,4.10,null,125 Kg,6.5 Hours,null,null,null,Hydraulic Disc,null,4.50,null,Excellent performance from the motor150km+ range easily possible if ridden gentlyLoaded with feature and connected apps ,Some software glitches still remainNo physical showrooms or workshops on offer,null,null,null,null,null
Ola S1 Air,2023-11-10,4.10,? 1.20 Lakh ,151 km/charge,90 kmph,8.157 PS,Twin telescopic,Dual shock,Drum,null,396 ratings,4.50,null,4.50,108 Kg,5 Hours,805 mm,null,null,Drum,4.80,null,null,Excellent value for money in the segmentSmall body & light weight make it very agileDecent top speed of 85 km/h,Basic design theme might not appeal to all ,null,null,null,null,null
Ola Electric S1 X,2023-11-10,4.30,? 90.00 K - ? 1.10 Lakh ,151 km/charge,85 kmph,8.157 PS,Twin telescopic,Dual shock,Drum,null,166 ratings,4.80,4.90,4.10,108 Kg,7.4 Hours,805 mm,8.157 PS,3 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Keeway Vieste 300,2023-11-10,4.40,? 2.99 Lakh - ? 3.20 Lakh ,null,125 kmph,18.9 PS @ 6500 rpm,Telescopic,Hydraulic,Disc,Alloy,5 ratings,null,null,null,147 Kg,6 hours,null,null,null,Disc,null,null,4.60,null,null,4.60,null,4.40,null,null
Dynamo RX4,2023-11-10,4.40,"? 96,900 ",130 km/charge,65 kmph,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,4.50,5.00,4.50,null,3 - 4 Hours,800 mm,null,2.88 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Dynamo RX1,2023-11-10,4.40,"? 79,900 ",60 km/charge,null,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,5.00,5.00,null,null,6 - 8 Hours,null,null,1.53 kwh,Disc,4.00,null,null,null,null,null,null,null,null,null
Dynamo X1,2023-11-10,4.40,"? 49,900 ",60 km/charge,null,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,4.50,5.00,4.50,null,6 - 8 Hours,null,null,1.53 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Dynamo X2,2023-11-10,4.40,"? 55,900 ",80 km/charge,null,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,4.50,5.00,4.50,null,6 - 8 Hours,null,null,1.8 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Dynamo X4,2023-11-10,4.40,"? 86,900 ",110 km/charge,null,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,5.00,5.00,null,null,3 - 4 Hours,800 mm,null,2.16 kwh,Disc,null,null,4.00,null,null,null,null,null,null,null
Dynamo XL,2023-11-10,4.40,"? 65,900 ",80 km/charge,null,null,Hydraulic Telescopic,Six Hydraulic Shockers,Disc,null,2 ratings,4.50,5.00,4.50,null,3 - 4 Hours,null,null,2.16 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Dynamo Smiley,2023-11-10,4.40,"? 76,900 ",85 km/charge,null,null,Hydraulic Telescopic,Double Shocker with dual tube technology,Disc,null,2 ratings,4.50,5.00,4.50,null,3 - 4 Hours,800 mm,null,1.8 kwh,Disc,null,null,null,null,null,null,null,null,null,null
RBSEVA Legend,2023-11-10,3.70,"? 72,128 - ? 99,335 ",75 km/charge,90 kmph,null,Hydraulic,null,null,null,1 ratings,null,null,null,null,3 - 4 hours,null,null,null,null,null,5.00,3.40,null,null,null,null,null,null,null
RBSEVA Rider,2023-11-10,3.70,"? 67,237 - ? 91,200 ",55 km/charge,78 kmph,null,Hydraulic,null,null,Alloy,1 ratings,null,null,null,null,3 - 4 hours,null,null,1.44 kwh,null,null,5.00,3.40,null,null,null,null,null,null,null
RBSEVA Rider Super,2023-11-10,3.70,"? 71,838 - ? 99,045 ",75 km/charge,null,null,Hydraulic,null,null,Alloy,null,null,null,null,null,3 - 4 hours,null,null,1.44 kwh,null,null,null,null,null,null,null,null,null,null,null
RBSEVA Auram,2023-11-10,4.40,? 79.37 K - ? 1.07 Lakh ,75 km/charge,null,null,Hydraulic,Hydraulic,Disc,Alloy,2 ratings,5.00,5.00,null,null,3 - 4 hours,null,null,1.344 kwh,Drum,null,null,4.00,null,null,null,null,null,null,null
RBSEVA RBS250 Loader,2023-11-10,4.40,? 78.96 K - ? 1.03 Lakh ,null,null,null,Aluminium Hydraulic,Hydraulic,Disc,Alloy,2 ratings,4.50,5.00,4.50,null,3 - 4 hours,null,null,1.344 kwh,Drum,null,null,null,null,null,null,null,null,null,null
RBSEVA RBSEVA RIO,2023-11-10,4.40,? 77.71 K - ? 1.05 Lakh ,75 km/charge,null,null,Hydraulic,Hydraulic,Disc,Alloy,2 ratings,5.00,5.00,null,null,3 - 4 hours,null,null,1.344 kwh,Drum,null,null,4.00,null,null,null,null,null,null,null
RBSEVA Royal ZL3,2023-11-10,4.40,? 1.05 Lakh ,100 km/charge,70 kmph,null,Hydraulic,Hydraulic,Disc,Alloy,2 ratings,4.50,5.00,4.50,null,3 - 4 hours,800 mm,null,null,Drum,null,null,null,null,null,null,null,null,null,null
RBSEVA Royal DLX,2023-11-10,4.40,"? 72,128 - ? 99,335 ",75 km/charge,null,null,Hydraulic,Hydraulic,Disc,Alloy,2 ratings,5.00,5.00,null,null,3 - 4 hours,null,null,1.68 kwh,Drum,null,null,4.00,null,null,null,null,null,null,null
RBSEVA Legend Super,2023-11-10,4.40,? 74.42 K - ? 1.02 Lakh ,75 km/charge,null,null,Hydraulic,Hydraulic,Drum,Alloy,2 ratings,5.00,5.00,4.00,null,3 - 4 hours,null,null,1.344 kwh,Drum,null,null,null,null,null,null,null,null,null,null
AMO Electric Jaunty,2023-11-10,3.30,"? 59,966 - ? 90,064 ",70 km/charge,25 kmph,null,Telescopic Fork,Spring Loaded Gas,null,Alloy,17 ratings,4.30,4.30,4.00,62 Kg,6 Hours,730 mm,null,1.62 kwh,null,null,null,null,Decent riding range.Smart looks,High on charging time. Poor top speed.,null,null,null,null,null
AMO Electric Inspirer,2023-11-10,3.90,"? 51,382 - ? 86,626 ",70 km/charge,25 kmph,null,Telescopic Fork,Spring Loaded Gas,null,Alloy,8 ratings,5.00,null,5.00,62 Kg,6 Hours,730 mm,null,1.62 kwh,null,5.00,null,null,null,null,null,null,null,null,null
AMO Electric Jaunty Plus,2023-11-10,4.60,? 1.04 Lakh ,120 km/charge,50 kmph,null,Telescopic Fork,null,null,Alloy,6 ratings,5.00,null,null,null,3-5 Hours,null,null,null,null,null,5.00,null,null,null,null,5.00,null,null,null
AMO Electric Jaunty-3W,2023-11-10,3.70,"? 78,819 ",null,50 kmph,null,null,null,null,null,11 ratings,null,null,null,null,6 hour,null,null,1.56 kwh,null,null,4.30,null,null,null,null,3.80,4.20,null,null
Enigma GT450,2023-11-10,4.30,"? 86,909 ",null,120 kmph,null,Double Hydraulic Telescopic,Hydraulic,Disc,Alloy,28 ratings,4.90,5.00,4.10,null,5 -7 Hours,null,null,null,Disc,null,null,null,null,null,null,null,null,null,null
Enigma Crink,2023-11-10,null,"? 99,000 ",null,60 kmph,null,Double Hydraulic Telescopic,Hydraulic,Disc,Alloy,null,null,null,null,null,5 -7 Hours,null,null,2.16 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Enigma Ambier N8,2023-11-10,4.40,? 1.05 Lakh ,null,40 kmph,null,Hydraulic,Dual Shocker,Disc,Alloy,30 ratings,4.80,5.00,null,null,4-5 Hours,null,null,null,Disc,null,4.50,null,null,null,null,null,null,null,null
Super Eco T1,2023-11-10,3.20,"? 56,772 ",80 km/charge,55 kmph,800 W,null,null,Disc,Alloy,2 ratings,null,null,null,null,4-6 hrs,null,800 W,1.26 kwh,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Super Eco S 2,2023-11-10,3.70,? 1.05 Lakh ,85 km/charge,55 kmph,1000 W,null,null,Drum,Alloy,1 ratings,null,null,null,null,4-6 hrs,null,null,null,Drum,null,5.00,3.40,null,null,null,null,null,null,null
Viertric V4 Eagle,2023-11-10,4.10,"? 70,095 ",70 km/charge,57 kmph,250 W,null,null,Tubeless,Alloy,4 ratings,null,null,null,null,4-5 hours,null,250 W,1.24 kwh,Tubeless,null,4.00,null,null,null,4.30,null,4.30,null,null
Viertric V4 Max,2023-11-10,4.30,"? 68,000 ",70 km/charge,57 kmph,250 W,null,null,Tubeless,Alloy,4 ratings,null,null,null,null,4-5 hours,null,250 W,1.24 kwh,Tubeless,null,4.80,null,null,null,4.50,4.30,null,null,null
Viertric V4 XL,2023-11-10,4.40,"? 70,000 ",70 km/charge,57 kmph,250 W,null,null,Tubeless,Alloy,2 ratings,null,null,null,null,4-5 hours,null,250 W,1.24 kwh,Tubeless,null,4.50,4.50,null,null,4.50,null,null,null,null
Viertric V4 Mist,2023-11-10,4.40,"? 72,000 ",70 km/charge,57 kmph,250 W,null,null,Tubeless,Alloy,5 ratings,null,null,null,null,4-5 hours,null,250 W,1.24 kwh,Tubeless,null,null,4.30,null,null,4.50,4.30,null,null,null
Deltic Drixx,2023-11-10,3.80,"? 55,490 - ? 88,490 ",70 km/charge,25 kmph,null,Hydraulic (Telescopic Type),Hydraulic Spring (Monoshock),Disc,null,5 ratings,null,null,3.00,57 Kg,6-8 hours,null,null,1.68 kwh,Disc,null,4.00,null,null,null,null,null,4.00,null,null
Deltic Trento,2023-11-10,4.40,? 1.27 Lakh ,75 km/charge,45 kmph,null,Hydraulic Suspension (Telescopic Type),Hydraulic Spring (Monoshock),Disc,null,30 ratings,4.80,5.00,null,57 Kg,5 - 6 Hours,null,null,null,Disc,null,4.50,null,null,null,null,null,null,null,null
Deltic Legion,2023-11-10,5.00,"? 62,490 - ? 88,990 ",70 km/charge,25 kmph,null,Hydraulic Suspension (Telescopic Type),Hydraulic Spring (Monoshock),Disc,null,1 ratings,null,null,null,59 Kg,8 - 9 Hours,null,null,1.68 kwh,Disc,null,null,null,null,null,null,null,null,null,null
Deltic ZGS,2023-11-10,4.30,"? 95,490 ",70 km/charge,45 kmph,null,Hydraulic Suspension (Telescopic Type),Hydraulic Spring (Monoshock),Disc,null,30 ratings,4.60,5.00,4.40,64 Kg,5 - 6 Hours,null,null,2.16 kwh,Drum,null,null,null,null,null,null,null,null,null,null
EVeium CZAR,2023-11-10,3.80,? 2.16 Lakh ,150 km/charge,85 kmph,null,null,null,Disc,null,1 ratings,null,null,null,null,4 Hours,null,null,null,Disc,null,5.00,3.60,null,null,null,null,null,null,null
EVeium COMET,2023-11-10,3.80,? 1.92 Lakh ,150 km/charge,85 kmph,null,null,null,Disc,null,1 ratings,null,null,null,null,4 Hours,null,null,null,Disc,null,5.00,3.60,null,null,null,null,null,null,null
EVeium COSMO EV,2023-11-10,3.80,? 1.44 Lakh ,80 km/charge,65 kmph,null,null,null,Disc,null,1 ratings,null,null,null,null,4 Hours,null,null,null,Disc,null,5.00,3.60,null,null,null,null,null,null,null
BNC Challenger S110,2023-11-10,4.60,? 1.21 Lakh ,90 km/charge,75 kmph,null,"leading link, anti-dive, 4-point adjustable",4-point adjustable,Disc,null,2 ratings,5.00,5.00,5.00,null,3.5 Hours,null,null,null,Disc,null,null,null,null,null,null,null,null,null,null
Eblu Feo,2023-11-10,4.30,"? 99,999 ",null,60 kmph,null,null,null,null,null,22 ratings,4.90,4.60,null,null,null,null,null,null,null,null,null,4.00,null,null,null,null,null,null,null
Gemopai Ryder,2023-11-10,3.70,"? 60,000 - ? 84,302 ",90 km/charge,25 kmph,250 Watts,Hydraulic,Hydraulic Type,Disc,null,4 ratings,null,null,null,80 Kg,4 Hours,null,250 Watts,0.96 kwh,Drum,null,5.00,3.60,150kg loading capacity.90 km riding range is good.Modern features.,Fewer service outlets.Low sales.,null,null,null,null,null
Gemopai Astrid Lite,2023-11-10,3.60,"? 79,999 ",90 km/charge,65 kmph,1100-2500 Watts,Hydraulic,Hydraulic Type,Disc,Alluminium Alloy Wheels,5 ratings,null,null,null,null,5 Hours,null,1100-2500 Watts,1.2 kwh,Drum,null,4.00,4.00,null,null,null,null,4.00,null,null
Gemopai Miso,2023-11-10,4.10,"? 44,000 ",60 km/charge,35 kmph,null,Telescopic,null,Tubeless,Alloy Wheels,3 ratings,null,null,null,45 Kg,3 - 4 Hours,null,null,0.84 kwh,null,5.00,null,null,Decent riding range of 75 km.Multiple colour options.Quick charging to 90% in just 2 hours.,Top speed limited to 25 kmph only.Unconventional looks.,5.00,5.00,null,null,null
Gemopai Ryder SuperMax,2023-11-10,4.00,"? 79,999 ",100 km/charge,60 kmph,60kmph,Telescoping suspension,Hydraulic suspension,Disc,Alloy,null,null,null,null,null,null,null,60kmph,null,Drum,null,null,null,null,null,null,null,null,null,null
White Carbon Motors GT5,2023-11-10,4.20,? 1.25 Lakh ,100 km/charge,50 kmph,null,Telescopic,Dual Coil,Disc,null,13 ratings,5.00,5.00,5.00,170 Kg,3-4 Hours,null,null,null,Disc,null,null,null,null,null,null,null,null,null,null
White Carbon Motors O3,2023-11-10,4.00,"? 55,900 ",60 km/charge,25 kmph,null,Hydraulic Telescopic,Dual shocker with tube technology,Disc,null,1 ratings,null,null,null,null,3-4 Hours,null,null,1.152 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Bounce Infinity E1,2023-11-10,4.00,? 93.39 K - ? 1.05 Lakh ,85 km/charge,65 kmph,null,Telescopic Hydraulic,Twin Shock Absorber,Hydraulic Disc with CBS,null,35 ratings,null,null,null,94 Kg,4 Hours,780 mm,null,1.9 kwh,Hydraulic Disc,null,4.60,null,null,null,4.40,null,4.40,null,null
Lectrix SX25,2023-11-10,4.20,"? 54,499 ",60 km/charge,25 kmph,null,Telescopic,Dual Coil Spring,Drum,null,2 ratings,null,5.00,3.00,70 Kg,4 Hours,760 mm,null,1.34 kwh,Drum,null,null,3.00,null,null,null,null,null,null,null
Lectrix LXS G 2.0,2023-11-10,5.00,"? 99,999 ",80 km/charge,55 kmph,null,Telescopic,Coil spring,Drum,null,1 ratings,null,null,null,100 Kg,3 Hours,810 mm,null,2.3 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Lectrix LXS,2023-11-10,4.00,"? 91,253 ",89 km/charge,50 kmph,null,Telescopic,Coil Spring,null,Sheet Metal,15 ratings,null,null,null,null,2.5 - 3 Hours,760 mm,null,4.84 kwh,null,null,4.10,null,null,null,3.90,null,4.60,null,null
Avon E Lite,2023-11-10,4.10,"? 28,000 ",50 km/charge,24 kmph,232 W,null,null,null,null,10 ratings,5.00,5.00,5.00,null,4-8 Hours,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Avon E Scoot,2023-11-10,3.50,"? 45,000 ",65 km/charge,24 kmph,215 W,Telescopic Suspension,null,Drum,Alloy,10 ratings,5.00,null,null,null,7-8 Hours,null,null,1.152 kwh,Drum,5.00,null,null,null,null,5.00,null,null,null,null
Avon E Plus,2023-11-10,4.30,"? 25,000 ",50 km/charge,24 kmph,220 W,null,null,null,null,17 ratings,5.00,null,5.00,null,4-8 Hours,null,null,null,null,5.00,null,null,null,null,null,null,null,null,null
Avon E - STAR,2023-11-10,4.10,"? 51,861 - ? 65,478 ",65 km/charge,24 kmph,null,Telescopic,null,null,null,8 ratings,null,null,null,null,7-8 Hours,null,null,null,null,null,4.50,4.20,null,null,null,null,4.00,null,null
Avon E Mate,2023-11-10,4.40,"? 45,000 ",65 km/charge,24 kmph,188 W,Telescopic Suspension,null,Drum,Alloy,7 ratings,5.00,5.00,null,null,7-8 Hours,null,null,1.152 kwh,Drum,5.00,null,null,null,null,null,null,null,null,null
Kyte Energy Magnum Pro,2023-11-10,4.00,"? 80,999 ",160 km/charge,60 kmph,null,null,null,null,null,12 ratings,null,null,null,null,null,null,null,null,null,null,4.60,null,null,null,4.00,4.20,null,null,null
Li-ions Spock Electric Scooter,2023-11-10,3.80,"? 65,000 ",130 km/charge,45 kmph,8.7 PS @ 6750 rpm,Telescopic hydraulic fork,null,Disc,Alluminium Alloy Wheels,1 ratings,null,null,null,90 Kg,4 Hrs (0% to 100%),760 mm,8.7 PS @ 6750 rpm,2.88 kwh,Disc,null,5.00,3.60,null,null,null,null,null,null,null
Avera Retrosa,2023-11-10,4.00,? 88.90 K - ? 1.28 Lakh ,140 km/charge,55 kmph,3000 W,Telescopic (Hydraulic Type),Double shocker with dual tube,Disc,null,1 ratings,null,null,null,140 Kg,2-3 Hours,null,null,2.4 kwh,Drum,null,5.00,3.80,null,null,null,null,null,null,null
Fujiyama Spectra,2023-11-10,3.70,"? 51,528 - ? 77,119 ",50 km/charge,25 kmph,null,Telescopic,Dual Tube Spring,Drum,null,6 ratings,4.00,4.00,5.00,null,8 hours,740 mm,null,1.3 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Fujiyama Spectra Pro,2023-11-10,4.80,"? 54,384 - ? 79,975 ",50 km/charge,25 kmph,null,Telescopic,Dual Tube Spring,Disc,null,2 ratings,null,null,null,null,8 hours,735 mm,null,1.3 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Fujiyama Ozone,2023-11-10,4.30,"? 99,918 ",50 km/charge,65 kmph,null,Telescopic,Dual Tube Spring,Disc,null,30 ratings,4.70,5.00,4.30,null,4-5 hours,795 mm,null,2.5 kwh,Drum,null,null,null,null,null,null,null,null,null,null
Vegh S25,2023-11-10,4.40,"? 75,999 ",70 km/charge,25 kmph,0.339 PS,Telescopic Forks,Damper Coil Spring,Disc,null,1 ratings,5.00,5.00,null,null,4 Hours,800 mm,0.339 PS,1.34 kwh,Drum,null,null,4.00,null,null,null,null,null,null,null
Vegh S60,2023-11-10,4.40,? 1.30 Lakh ,120 km/charge,65 kmph,3.39 PS,Telescopic Forks,Damper Coil Spring,Drum,null,1 ratings,4.00,5.00,5.00,null,3-4 Hours,825 mm,null,null,Drum,null,null,null,null,null,null,null,null,null,null
Vegh L25,2023-11-10,4.40,"? 79,999 ",80 km/charge,25 kmph,0.339 PS,Telescopic Forks,Damper Coil Spring,Disc,null,1 ratings,5.00,5.00,null,null,4-5 Hours,787 mm,0.339 PS,1.56 kwh,Disc,null,null,4.00,null,null,null,null,null,null,null
