name,recorded_date,reviewer_name,review_date,reviewer_text
River Indie,2023-11-10,Anonymous,31 Days ago,5.0 A Comfortable and Spacious Ride with Exceptional Handling
River Indie,2023-11-10,Anonymous,1 Month ago,"4.2Am impressed with the wheel base, broad seats, sturdyness, shock absorbers but at the downside range should be atleast 200 kms."
River Indie,2023-11-10,Sachin,2 Month ago,4.6This is a good scooter i have ever seen. Its quality is awesome.
Benling India Aura,2023-11-10,paresh shetye,2 Month ago,5.0 Its a very good vehicle with good looks and sturdy structure with performance. Also it offers good mileage per charge
Benling India Aura,2023-11-10,Thatchana moorthy,2 Month ago,4.6 Good performance eco drive to get range 100 to 110
Benling India Aura,2023-11-10,Balaji,6 Month ago,4.7Overall a good choice when compared with TVS iCUBE & OLA S1. Low price when compared to rivals. Don't waste money on TVS & OLA.
Benling India Falcon,2023-11-10,Avni M,2 Month ago,3.0After sales service is just pathetic and even the service centre manager is worst.
Benling India Falcon,2023-11-10,Mayuresh,10 Month ago,"3.4It's a good motercycle.but suspension is too bad. And low quality metal. Other than it saved our money, "
Benling India Kriti,2023-11-10,VIKASH chandra,8 Month ago,3.7Easy to handle but top speed limited & charge time long
GT Soul,2023-11-10,MAMIDI satish,8 Month ago,"4.0Scooter is look good, good battery performance. Ride quality also good"
GT One,2023-11-10,Mahesha,8 Month ago,4.0
GT Prime,2023-11-10,Safi,8 Month ago,4.0
GT One Plus,2023-11-10,Naveen,8 Month ago,4.0
GT Drive Plus,2023-11-10,Rajendra paswan,8 Month ago,4.0
GT Flying,2023-11-10,Aashish,8 Month ago,"4.0Affordabl scooter. Look simple, limited speed"
Maruthisan  MS 3.0,2023-11-10,Umarsangji sodha,1 Month ago,"4.4Stunning Led Headlamp and timeless design. Overall aesthetics to the functional features, a well-designed electric scooty provide a stylish mode of transportation. Cosmetic looks are good. Front face  showcases a chic headlamp unit with integrated indicators, giving it a distinctive appeal. "
Maruthisan  MS 3.0,2023-11-10,RATAN lal JAT,1 Month ago,4.4It is an electric scooter with a battery capacity of 30 Ah. It has a maximum speed of 60 kmph and a range of 160 km. Unleashing performance with advanced tyre technology which enhanced grip and efficiency with specially developed compounds.
Maruthisan  MS 3.0,2023-11-10,K.RAMAKRISHNA,2 Month ago,"4.4It is loaded with features such as Passenger Foot rest available, Low Battery Indicator, Removable Battery, Turn Signal Lamp or more."
Sokudo Acute,2023-11-10,Rajat,4 Month ago,5.0One of the finest scooter and toughest with best mileage.
Sokudo Acute,2023-11-10,Dhruv Patel,4 Month ago,5.0
Vida V1,2023-11-10,Ritesh,10 Nov 2023,4.4It is designed to withstand various road conditions and provide a smooth riding experience.
Vida V1,2023-11-10,Ritesh,10 Nov 2023,"4.4It boasts a sleek and stylish design. It is constructed with high-quality materials that give it a premium feel. The device is compact and lightweight, making it easy to carry around. The build quality is generally praised by users, with many mentioning its durability and sturdiness."
Vida V1,2023-11-10,Subramanya,08 Nov 2023,"4.4It has Hero's i3S technology, which helps save gasoline by automatically turning off the engine when it has been idle for a predetermined amount of time. For seamless gear changes, the engine is linked to a 4-speed gearbox."
Silence S01+,2023-11-10,Balvinder singh,7 Month ago,3.7Loved this scooter& it rides smoothly& pickup is very good& service cost is also low but it gives less mileage.
iGowise BeiGo,2023-11-10,Sumer Singh,8 Month ago,5.0BeiGo showroom Delhi me kaha per hai. BeiGo scooty Lena hai.
iGowise BeiGo,2023-11-10,Dimple,8 Month ago,3.8Nice Electric scooter.
iGowise BeiGo,2023-11-10,Dipak Dutta,9 Month ago,"4.6This scooter looking nice and mileage also good but front light you some change, now it's some better "
Zelio Gracy,2023-11-10,Manoj joshi,07 Nov 2023,"4.6I have used this and now going to purchase,  it look sturdy and the seat is very less in hight thus gives more comfort to the ladies and less highted person. And weight wise it is less weight. More beneficial in city and good for students and female riders. As are in attractive colours"
Zelio Gracy,2023-11-10,Gulshan,6 Month ago,5.0This best for all kids also drive this in age.
Zelio Gracy,2023-11-10,Money,9 Month ago,1.0It's the worst e bike one can buy. Not recommended at all.
Zelio Eeva,2023-11-10,Prabhat dhar,1 Month ago,5.0 Wow it awesome scooter with efficient design
Zelio Eeva,2023-11-10,Nitesh,1 Year ago,"5.0It's very good scoty in this google teacher good look , good range,also are very good."
Zelio Eeva ZX,2023-11-10,Anonymous,1 Month ago,5.0 Nice but mileage is at good level. performance is also satisfying.
Zelio Eeva ZX,2023-11-10,Kiran kalburgi,1 Year ago,3.8Good condition and good performance software to work 
Zelio Gracy i,2023-11-10,Ashutosh,7 Month ago,4.0Its has lowest price and nice features and comfortable
Joy E-bike Wolf Plus,2023-11-10,Rahul Kumar,2 Month ago,5.0 Good  good very happy with features
Joy E-bike Wolf Plus,2023-11-10,Satish,7 Month ago,3.7Driving is very smooth and comfortable.But it's build quality is very bed.It's stearing quality is very third class
Joy E-bike Wolf,2023-11-10,Vishal,3 Month ago,1.0Very bad experience with Joy E bike. Not good overall very bad.
Joy E-bike Wolf,2023-11-10,Sharath Kini,7 Month ago,"1.0Worst scooter ever seen, all my electric parts head lights, indicator, horn and power reducers got burnt away, company is not responding for the complaint raised, email sent, service centre is saying to change headlights, indicator assembly for bulb burn out, company doesn’t care for its customers."
Joy E-bike Wolf,2023-11-10,Dhyanachandra behera,1 Year ago,2.6Service is not good. Battery showing poor performance after 1 year. Want to replace it under warranty. But show room says battery not available. I don't have any communication address.
Joy E-bike Gen Nxt Nanu Plus,2023-11-10,Harish Rohit,1 Year ago,"4.2Nice Scooter, Good Performance, Lovely Design, Comfortable to use, Good Range, and Fast Charging."
Joy E-bike Glob,2023-11-10,Ashok Kumar Jangir,1 Year ago,1.0MHA bakwas it is a toy Joy globe purchase is money is waste I have experience in 11 months and I was happy in its early period but become worst with time
Joy E-bike Glob,2023-11-10,Debasis Satapathy,1 Year ago,2.2In this vehicle all the parts those are assembled are of very poor quality.frustrated by changing the disk pad once in a week.such a disaster by the company.only Chinese product of worst quality material is used in this scooter.. truly dissatisfied by purchasing 
Joy E-bike Glob,2023-11-10,Kapil Thakur,1 Year ago,"4.0Brakes are great and suspension also good.Overall riding experience was nice, just that space should be more."
Joy GEN NXT Nanu E-Scooter,2023-11-10,Karan Khanna,1 Year ago,"4.0Comfortable to ride,great style and efficient mileage.Great fun to ride my bike."
Joy GEN NXT Nanu E-Scooter,2023-11-10,Jashan Deep,1 Year ago,"4.0Best electric scooter I have ever taken a test drive in my life, a very comfortable seat with large luggage space."
Joy GEN NXT Nanu E-Scooter,2023-11-10,Rinkesh Rathour,2 Year ago,3.4Exilent 
Joy E-bike Mihos,2023-11-10,sufiyan ali,8 Month ago,3.7
M2GO Scooters X1,2023-11-10,Sanjot,1 Year ago,1.8Worst part about TVs is low quality parts they use in bike. Accelerator cable issue in bike it breaks I have suffered two times.petrol filling issue. Display issue. And so on
M2GO Scooters Civitas,2023-11-10,Ziad,7 Month ago,3.8has avery good bettery backup
Kabira Intercity Neo,2023-11-10,R. N. Pradhan sir,7 Month ago,3.7Comfortable while driving but looks can be even better
Kabira Kollegio Neo,2023-11-10,Babor ali,7 Month ago,"3.7 Has attractive different-looking LED headlight, LED turn indicator light, a stylish LED taillight"
Kabira Kollegio Plus,2023-11-10,Vaibhav koli,7 Month ago,3.7Kabira Mobility Kollegio Neo is a low-speed electric scooter. It is an ergonomically designed electric scooter
Kabira Aetos 100,2023-11-10,Aditya,7 Month ago,3.7This eco-friendly bike comes with a variety of useful features and advanced tech
Kabira Hermes 75,2023-11-10,Sachin Rathod,7 Month ago,3.7looks of the bike are very nice.
Kabira Mobility Kollegio,2023-11-10,Babor ali,7 Month ago,"3.7It has a very vintage vibe to it which is quite good, with a range of 80kmph, Battery charging hardly takes more then 5 hrs, Loved all its features."
Kabira Mobility Intercity Aeolus,2023-11-10,Sachin Rathod,7 Month ago,3.7fully electric and environmentally friendly
Gravton Quanta,2023-11-10,Dabhi Sanjaybhai,28 Days ago,4.2more fun and comfortable to drive. It is very well-tuned.
Gravton Quanta,2023-11-10,Mir yousuf ali,10 Month ago,5.0Very good.
Gravton Quanta,2023-11-10,Suresh,1 Year ago,"1.0I booked this vehicle in the month of feb22, they committed test drive on July 22, but Still there is no information, called them so many times, there is proper feedback and so arrogantly responding that you can cancel the order."
Komaki SE,2023-11-10,Jabrul Ahmed,1 Year ago,"4.2Awesome bike.Loved it..Smooth ride,good mileage,with good features,normal bike size and cool looks."
Komaki SE,2023-11-10,Vicky,2 Year ago,"5.0Awesome bike..loved it..smooth ride n good mileage, with good features and normal bike size and cool looks"
Komaki LY,2023-11-10,Mohan Patel,1 Year ago,4.0The scooter looks amazing and runs pretty well with the low maintenance of the bike and the looks are decent.
Komaki LY,2023-11-10,Shaunak Sharma,1 Year ago,"4.2I was looking for something which was easy to ride so that everyone in the family can uses it, economical and trendy"
Komaki LY,2023-11-10,Ravi Sharma,1 Year ago,4.8The Komaki LY is one of the most acclaimed and popular products from Komaki in India
Komaki XGT X-ONE,2023-11-10,Anonymous,01 Nov 2023,2.2In my perespective do not  buy this scooter  because its spare parts price is very high and its seat is not comfortable and build quality is very low conclusion is i am not satisfied by this ev scooter i hope you will understand my feelings after all i am only satisfied by one thing that its milage
Komaki XGT X-ONE,2023-11-10,Komaki Electric Scooters Showroom,8 Month ago,"5.0X1 is a best ev in the market, it is a non Registration vehicle is suitable for local riding and pickup is superb compare to other small ev's."
Komaki XGT X5,2023-11-10,Kapil Bhati,1 Year ago,3.8It was great scooty in this mid price-range and it does have nice performance and good looks.Good features also there.
Komaki Flora,2023-11-10,Pranjul Patel,3 Month ago,"3.8Riding experience is good.
Meter is not showing proper battery status and one more thing not available is range in this meter. Motor ip rating is also not available."
Komaki Flora,2023-11-10,Komaki Electric Scooters Showroom,8 Month ago,5.0Komaki is one of the best ev in market.
Komaki Flora,2023-11-10,Anil kumar,9 Month ago,"5.0I have purchased Flora on5th Dec 2022,Nice look and Great performance,After 2500 km I am very happy to choose Flora"
Komaki XGT KM,2023-11-10,Bhaskar,7 Month ago,1.4very poor build. All Fiber body parts very poor. Keys and lock need to change frequently. Service charges they charge like anything. Parts are also dam expensive. Not at all recommended .
Komaki XGT KM,2023-11-10,Saleem mp,7 Month ago,3.7Next generation electric motorbikes with high-end security features
Komaki Venice,2023-11-10,Neeraj Gupta,1 Year ago,"3.8This scooter comes with LED lights, a Bluetooth-equipped music system, disc brakes, and an LCD instrument cluster."
Komaki XGT VP,2023-11-10,Saleem mp,7 Month ago,3.7A big comfortable seat for two and a large trunk underneath
Komaki DT 3000,2023-11-10,Sangu nageswarareddy,1 Year ago,1.8This is just a waste of money product. No mileage and not comfortable.
Komaki DT 3000,2023-11-10,Pushpa,1 Year ago,"5.0This perform, specially on Indian bumpy roads, wonderfully. Komaki has a good dealers netvwork with workshops. "
Komaki DT 3000,2023-11-10,Mohanbhatt,1 Year ago,"4.6Best electric scooter I have ever taken a test drive in my life, a very comfortable seat"
Komaki XGT-X3,2023-11-10,Riyaz,7 Month ago,3.8 modern-day classical scooter
Komaki TN-95,2023-11-10,sharavanan cp,1 Month ago,4.2 Japanese technology extra super mailege extra large size good 
Komaki TN-95,2023-11-10,Joynal Abdin,1 Year ago,4.0This is an off-road kinda Electric scooter from Komaki.It's massive alloys.are incredible.
Komaki TN-95,2023-11-10,Sachiv Kumar,1 Year ago,4.4This’s an off-road kinda Electric scooter from Komaki. It has got massive alloys
Komaki X2 Vogue,2023-11-10,Mohan Singh,2 Month ago,1.0Very disappointed with this scooter. wheel baring broken twice in a year. Handle alignment is not good. Dont buy this scooter.
Komaki X2 Vogue,2023-11-10,Vs,1 Year ago,1.0Service not available and retail behavior is very bad
Komaki X2 Vogue,2023-11-10,Jubula Barik,1 Year ago,3.8A great bike with completely eco-friendly features.The charging point is a great feature.Happy and satisfied with the scooter.
Komaki Super,2023-11-10,alok na,2 Month ago,4.6 It is exact what I needed for my use case. I needed a platform to carry big bags of parcels and needed vehicle that would not cost a lot for operating.  amazing comfort it prcvide
Komaki Super,2023-11-10,Krishna,2 Month ago,5.0 Love this design so much because I want that type which must be a unique styles
Komaki Super,2023-11-10,Jyothi Reddy,1 Year ago,4.0I am waiting for the launch.I love the design of the machine is very basic and beautiful.
Odysse Electric Racer,2023-11-10,Ravi Kumar,8 Month ago,"4.0Easy to handle , fun to drive but no storage option is there"
Odysse Electric Hawk,2023-11-10,Kashinath choudhary,5 Month ago,1.0I am not hapy with the performance. Claimed range is 160 km/change but i get range upto 70 km/charge. I am very disappointed.
Odysse Electric Hawk,2023-11-10,Akhtar Naves,8 Month ago,"3.8Decent performance & looking scooter, long charging time but quite expensive"
Odysse Electric E2Go,2023-11-10,Simson,8 Month ago,"3.7Scooter performance not upto the mark look decent, comfortable "
Odysse Electric V2,2023-11-10,Sanjeev Mehta,1 Year ago,"3.8I own Lohia OMA star bike and I am riding it effortlessly.Speed is not the prime thing to look if you are thinking to purchase any electric vehicle, OMA star runs at 25 km per hour only which is a good mileage."
Odysse Electric V2 Plus,2023-11-10,RAJESH KUMAR,7 Month ago,4.0Speed Twin 900 come has cool
Odysse Electric Trot,2023-11-10,shailesh,3 Month ago,5.0It is good to handle with load in  traffic.
Odysse Electric Trot,2023-11-10,Sachin Kumbhar,8 Month ago,3.8
Simple One,2023-11-10,Naresh,10 Nov 2023,"4.4The scooter also boasts quick charging capabilities. It supports fast charging, allowing the battery to be charged up to 80% in just 40 minutes. This feature is particularly useful for users who need to recharge their scooters during short breaks or while on the go."
Simple One,2023-11-10,Kamalakar,10 Nov 2023,"4.4The scooter is designed to be a practical and efficient mode of transportation for urban commuters. It features a sleek and modern design with a combination of sharp lines and smooth curves. The scooter is available in vibrant colors, giving it a stylish and trendy appearance."
Simple One,2023-11-10,Rahul Chaudhary,08 Nov 2023,"4.4Its lightweight construction, achieved by using steel or aluminum, guarantees durability without adding extra weight."
Techo Electra Raptor,2023-11-10,gauharsyed,8 Month ago,"3.8I like this scooter look attractive, comfortable, easily to handle"
Techo Electra Emerge,2023-11-10,Upendra Kumar,8 Month ago,"3.8Comfortable seat,easy to handle but not attractive look, need more features "
Techo Electra Neo EV,2023-11-10,Sonu singh,8 Month ago,"3.7Fun to drive, comfortable, affordable scooter"
Techo Electra Saathi,2023-11-10,Sunil kumar,7 Month ago,3.7
Yukie Scooters Yuvee,2023-11-10,Tejpalsingh,1 Year ago,3.4This is one of the EV scooter comes with a range of 45-40km which comes with a top speed of 25kmph.
Yukie Scooters Shiga,2023-11-10,Mohit sihah,2 Month ago,"5.0 Yukie top model pro
I have and it's very comfortable 
"
Yukie Scooters Shiga,2023-11-10,Arun mishra,7 Month ago,4.0I don?t know that much about this scooter but electric scooter are really very nice
Lohia Oma Star,2023-11-10,Riyaz,7 Month ago,3.8Good for delevery.
Lohia Oma Star Li,2023-11-10,Vikrant,1 Year ago,"4.6Lohia auto specializes in designing electric bikes and scooters.These kind of E-scooters are affordable,pollution free and reliable.Lohia OMA star is one of a kind that features a stylish body and comes in variety of colors."
One Moto Electa,2023-11-10,Shivraj,7 Month ago,4.0I find it little expensive according to the features.
One Moto Commuta,2023-11-10,Siva,7 Month ago,4.0This bike not safe car
One Moto Byka,2023-11-10,Malli vamshi,7 Month ago,4.0It looks bike cool car amzing car an very fast driving style
BGauss D15,2023-11-10,Mahboob,4 Month ago,"2.2I have purchase D15 pro 7-3-23 I have completed total 2000 km in four month. Battery was not changed I had complaint in service centre. They took 2 days for pickup 4 day to check and report send battery problem from company. After send report next 2 day extra battery but extra battery is not charging in my charge sho service centre is very bad service manager was say 15 ya 20 days after next extra charge is coming from service centre so please do not purchase this D15 pro
"
BGauss D15,2023-11-10,Prashant Nimbalal Patil,5 Month ago,4.2Good for daily use. Range is 115 km/charge. Loading capacity is good. Looks and design is amazing.
BGauss D15,2023-11-10,Pushkar Rai,11 Month ago,3.4Scooty is performing well but its service center is limited in few cities only..
BGauss C12i Max,2023-11-10,Shubham shukla,23 Oct 2023,5.0The design of it makes easy to handle vehicle in traffic it has a good pickup 
BGauss C12i Max,2023-11-10,SHUBHANGI Rathore,21 Oct 2023,5.0A decent scooty with good features its attractive and design which is really nice  
BGauss C12i Max,2023-11-10,Raval Haresh,1 Month ago,5.0Look & feature are very nice.
Kinetic Green Zing,2023-11-10,Anonymous,25 Oct 2023,"5.0The Zing electric scooter is an eco-friendly and easy-to-ride option for short commutes It's budget-friendly and offers a smooth, silent ride with low maintenance making it best suited for city travel"
Kinetic Green Zing,2023-11-10,Anonymous,1 Month ago,5.0My Friend Purchased this Scooter. This Scooters experience Is excellent. So i will purchase this Scooter.
Kinetic Green Zing,2023-11-10,Ashik Raja,2 Month ago,5.0Superb range. Best in performance.
Kinetic Green Zoom,2023-11-10,shree agrofarm,2 Month ago,2.2design is eye  catching
Kinetic Green Zoom,2023-11-10,Swaroop,2 Month ago,2.4design is sleek and simple but feels exciting 
Kinetic Green Zoom,2023-11-10,Vandana dattatray Devkate,9 Month ago,2.2Pathetic service by the showroom people. No proper response no parts availability. Don't purchase any electric vehicles until to have parts available. Never buy a kinetic vehicle
HCD India NPS Cargo,2023-11-10,ANIRUDDHSINH,8 Month ago,"4.0Batter performance good.Not look attractive, no storage option. Scooter not tall people"
Evtric Motors Ride,2023-11-10,Anonymous,2 Month ago,"1.0After sale service is not good. Very disappointed.
"
Evtric Motors Ride,2023-11-10,Suresh Chandra Yadav,11 Month ago,"1.0They committee for 100 km but I am get 52 - 55 km  
Battery performance too bad
Body material also too inferior.and weak."
Evtric Motors Ride,2023-11-10,Lokesh,1 Year ago,5.0best vehicle for daily use....build quality and comfort superb 
Evtric Motors Rise,2023-11-10,Mandar,8 Month ago,3.8
Evtric Motors Axis,2023-11-10,Jatin bhadana,11 Month ago,5.0Very good performance and excellent mileage no maintenance.
Evtric Motors Axis,2023-11-10,Kannan St,1 Year ago,3.8I took this bike in 2015 and it is running well even today.The mileage is really great.
Evtric Motors Mighty,2023-11-10,Har Vir Singh,19 Oct 2023,"4.4Shiny and modish design, with a compact body that makes it easy to maneuver through traffic and navigate tight spaces. It is equipped with a powerful electric motor that provides quick acceleration"
Evtric Motors Mighty,2023-11-10,Bhaskar Reddy,19 Oct 2023,"4.4This scooter has telescopic front forks and dual rear shock absorbers, which help absorb bumps and provide a smooth ride. It has 10-inch tubeless tires that offer good grip and stability on various road surfaces."
Evtric Motors Mighty,2023-11-10,Mohan chauhan,18 Oct 2023,"3.5Lightweight frame made of high-quality aluminum, which provides strength and durability without adding bulk. Shiny and contemporary design with sharp lines and attractive graphics. It has a modern-looking front apron, large-sized headlamp, and an aerodynamic body. It has an edgy design and distinctive looks."
Ampere Magnus EX,2023-11-10,Pawan Lore,2 Month ago,2.2 My experience is very good because of its throttle. mileage is nice performance is nice on road
Ampere Magnus EX,2023-11-10,Prince,2 Month ago,"5.0 Best scooter compare to ola
Nice capacity and comfort
It's look like activa 125
"
Ampere Magnus EX,2023-11-10,Karamvir,3 Month ago,1.8Service is not good. Low quality parts and not reliable.
Ampere Zeal EX,2023-11-10,Jagdish Malik,6 Month ago,4.0Sleek & stylish design. Amped-up riding experience. Ample boot space and spacious legroom make riding exciting & comfortable.
Ampere Zeal EX,2023-11-10,Umesh,6 Month ago,4.0Brezzy ride quality. Easily drive on any type of road. Safety feaures make every ride safe. Good mileage & performance as well.
Ampere Zeal EX,2023-11-10,Yurens,6 Month ago,4.0Sproty look scooter. Overall performance of engine. Easily over come in traffic. Every ride good & exciting. Modern features make ride amazing.
Ampere Primus,2023-11-10,Swayam Swastik,1 Month ago,"4.6Magnus ex is best scooter. the scooter is very excellent and very comfortable and so smooth to ride. The scooter speedometer is of good quality. I like this scooter. If you have plan to buy a scooter, i suggest you  this scooter. You always get magnus ex, primus, ampere company is great. "
Ampere Primus,2023-11-10,Balaji,6 Month ago,"1.8No gimmick features for this cost, total waste of money. Don't buy ampere brand because their warranty policy is a headache to the customers."
Ampere Primus,2023-11-10,Mohan lal,6 Month ago,4.0Attractive and stylish. Comfortable seat and large amount of storage space. Overall performance is good. Good built quality.
ADMS Sathi,2023-11-10,Satya,19 Oct 2023,"4.4Seating area is spacious enough to allow for easy movement and adjustment during rides also Seat is well-padded and contoured to provide adequate support and cushioning .Furthermore, the suspension system of the bike plays a crucial role in enhancing comfort. "
ADMS Sathi,2023-11-10,Hem Singh,19 Oct 2023,"4.4Ergonomic features such as a comfortable leg space, Wide and adjustable handlebar, and a spacious under-seat storage compartment. These features provide a comfortable and convenient riding experience for the rider. "
ADMS Sathi,2023-11-10,Ravi,18 Oct 2023,"4.2Properly-padded break up seat that offers true guide for both the rider and pillion. Footpeg positioning and handlebar placement are ergonomically designed to make sure a comfy driving posture. Impressive comfort, thanks to its comfortable saddle and adjustable handlebar height. Suspension system provides a smooth ride and even on rough terrain."
ADMS Maevel,2023-11-10,Venu,19 Oct 2023,4.4Features of this  bike is that  it is a powerful electric motor. The bike is equipped with a high-torque motor that provides instant acceleration and smooth power delivery. This allows riders to effortlessly tackle steep hills and navigate through traffic with ease. 
ADMS Maevel,2023-11-10,Paul,19 Oct 2023,"4.4Sophisticated pedal-assist system, which provides additional power when needed. This system uses sensors to detect the rider's pedaling motion and automatically adjusts the level of assistance"
ADMS Maevel,2023-11-10,Ramesh,18 Oct 2023,"3.7Seats although slightly firm are also well-cushioned and supportive, making for a relaxing and enjoyable ride. Its suspension is adjustable, allowing the rider to fine-tune the ride according to their preferences and riding conditions. It offers a connected and comfortable riding experience."
ADMS EVA,2023-11-10,RAVINDRA SINGH CHOUHAN RAJENDRA SINGH CHOUHAN CHOU,19 Oct 2023,"4.4It has GPS navigation system. Riders can input their desired destination using a smartphone app or directly on the bike display. System then provides turn-by-turn directions, ensuring that riders can easily navigate unfamiliar routes without having to rely on external devices or maps."
